file,checksum
normalcd3_patient434_SR_2_IM00035.tif,fb90c549a55d1702e24d108fee5c4097bd9516e1cf8b1f4f1a0cd44a100c9e546e89a1674db9a9995ca9db046fce066cbdec8922e6384ad664d563958e0a9349
normalcd3_patient434_SR_2_IM00034.tif,80bb11c7bf7b1f3573a44152079df49378b5b0db37ce9444545798cb681b24c41efa31f5d78654db89f146de4c05f6009b90101f89c9d76b2d9cb6c72157a487
normalcd3_patient434_SR_2_IM00033.tif,548de0c3fc38e73c1b729b4b98061e34d4adcabe27525c4fb179e7ed8dfdd487a708c880d4f3a6b5d281f7dadaa611e95c2467d07f472352e1a2dcfd7c124982
normalcd3_patient434_SR_2_IM00032.tif,b6a36cf7b40fab30a3e0d9976f7dc53b72322441a477f9bad96231d361ff51f835ce70f76f0b4115e2fe91c2a6e55c2f7d1994e8c8accfaebfef491e1b61b8af
normalcd3_patient434_SR_2_IM00031.tif,8ff1a53519b3c5de4bb1c36d1a767a7d06db865830f1ffcedc573ceb6e0785103304450452069bd56006c2f7d00487fc5a0af60e5661c9dd2cd0b0fadd8b5920
normalcd3_patient434_SR_2_IM00030.tif,743e8c457e18cb6cf8a7cd61ad79b02f7bb87011c2cb47a97c4f1b68bf1a8fbdda86f80e58cb3ea7609f788cc053dcdaafca649b5e55feb90b450ac8cec3233e
normalcd3_patient434_SR_2_IM00029.tif,5f84a535537629c5030a1aaf1d7ffa6e70dc2eb261ac1f0460d9c1058f25fbcb2824b7a45778048c1fba9abd545e55f693901d7713c0d2012ef5c6fe7c2f5fb8
normalcd3_patient434_SR_2_IM00028.tif,fa6bb6e2bd4b4730d12fd66437921be270ff5314e91a85526d4cce22d325cd6a862a8c858eeafced2f18f297d8b8d2dc37d55666b4165b731c84af8f52f2a14a
normalcd3_patient434_SR_2_IM00027.tif,cc15595ed1ce291646b833bb9e58f618bc456ff8978deeecceb9cf7066301455f5f3c70563cd979adc8c0260e0fd54e63eeb289b4c1411695cfc447fa294570a
normalcd3_patient434_SR_2_IM00026.tif,a573f1d214b13d2274dd78da6f29dbeb305ad32b234b6819351be137a89676411157599ea2cd1cb4cbce0ac1ba157efcb095f811c0172354853db32c22d6b551
